0;52.0629 -39.4417
1;50.9619 -38.0143
2;49.1394 -36.856
3;52.9055 -37.629
4;53.6119 -42.7086
5;55.165 -43.1156
6;56.2356 -41.5717
7;50.2398 -39.9829
8;47.1664 -37.2464
9;45.4641 -38.1011
10;52.2292 -43.6311
11;49.7473 -43.3809
12;55.7662 -37.7677
13;50.8901 -35.8568
14;42.9951 -36.7225
15;42.1844 -34.2655
16;58.2516 -44.1296
17;54.6884 -39.687
18;42.9949 -36.7225
19;48.2921 -38.8076
20;42.9145 -32.2948
21;54.0534 -36.2039
22;42.1843 -34.2667
23;47.3325 -31.0816
24;52.2157 -31.003
25;50.2229 -29.9009
26;43.6644 -30.5876
27;49.3506 -32.4004
28;47.4703 -32.9016
29;45.3907 -30.925
30;47.9641 -34.9085
31;49.9982 -34.0076
32;45.3042 -34.3396
33;45.7987 -34.47
